Data;taxa_media
01/09/2024;1,91
01/10/2024;1,94
01/11/2024;1,97
01/12/2024;2,05
01/01/2025;2,18
01/02/2025;2,15
01/03/2025;2,12
01/04/2025;2,08
01/05/2025;2,05
01/06/2025;2,05
01/07/2025;2,03
01/08/2025;2,03
01/09/2025;2,03
01/10/2025;2,04
01/11/2025;2,01
01/12/2025;1,97
01/01/2026;2,06
